@RELATION svmModelTest
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Silence,Speech,Music,Activity}

@DATA
0.147098,0.053692,3.233417,0.236457,0.225310,1.494247,0.002840,0.214328,-21.083853,1.382566,-0.790470,0.287275,0.199493,0.185193,0.060229,0.085537,0.211692,-0.122973,-0.071832,-0.064915,0.125886,0.009461,0.005400,0.038522,0.033694,0.010983,0.005915,0.019090,0.006290,0.005619,0.019680,0.039340,0.005851,0.015880,0.015262,0.008145,0.044969,0.010410,0.005166,0.169123,0.000763,0.032507,0.172656,0.206616,0.203406,0.125716,0.156227,0.138864,0.124588,0.129223,0.142502,0.147279,0.133081,0.122251,0.134500,0.003776,0.003449,0.019349,0.010944,0.005588,0.003542,0.011145,0.005448,0.004174,0.010794,0.018316,0.003418,0.003733,Silence
0.136421,0.074255,3.183141,0.235044,0.219985,1.550812,0.000000,0.210000,-20.784776,1.326119,-0.874626,0.142261,0.468920,0.492158,0.002794,0.037168,0.255543,-0.118792,-0.176267,-0.226625,0.204290,0.022572,0.004056,0.026190,0.027212,0.005550,0.002413,0.018677,0.009180,0.002348,0.009084,0.020341,0.005510,0.009129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Silence
0.198164,0.077781,3.208041,0.335277,0.287657,1.739309,0.001167,0.465000,-20.993742,0.966438,0.139092,0.348994,0.217897,0.023614,-0.001629,0.137733,-0.018160,-0.100545,-0.020120,-0.112236,-0.124264,0.008362,0.001815,0.034871,0.010049,0.008959,0.005079,0.076078,0.001833,0.002435,0.003390,0.055961,0.004209,0.024357,0.015842,0.004694,0.003750,0.007461,0.004612,0.077399,0.000840,0.045046,0.050589,0.114836,0.068014,0.089340,0.049823,0.060389,0.094164,0.069666,0.092271,0.091722,0.075365,0.044707,0.119370,0.004771,0.001022,0.013389,0.002694,0.005599,0.001594,0.004973,0.000505,0.001665,0.001588,0.014030,0.002713,0.001564,Silence
0.118362,0.020498,3.148813,0.195128,0.207771,1.003674,0.004630,0.156071,-24.825356,2.276709,-0.789019,0.132623,0.003222,0.147545,0.268590,-0.020584,-0.117257,-0.163539,-0.128544,-0.113111,0.220566,0.008247,0.008063,0.045566,0.033959,0.016693,0.009994,0.020156,0.003079,0.004024,0.008112,0.031210,0.003856,0.017337,0.046876,0.034081,0.137873,0.043342,0.021916,0.527924,0.003596,0.058750,1.547219,0.781582,0.170598,0.234976,0.294347,0.081377,0.232679,0.084372,0.117301,0.176478,0.089542,0.137033,0.040975,0.004742,0.003991,0.029027,0.004832,0.004968,0.005569,0.011357,0.002548,0.003090,0.003278,0.027448,0.002169,0.005332,Silence
0.111800,0.006166,3.176246,0.205120,0.216836,1.001160,0.004861,0.149714,-27.120513,1.857011,-0.879029,0.259939,0.141892,0.152731,0.142224,0.103561,0.118311,-0.096081,-0.064921,-0.002111,0.053968,0.009606,0.006209,0.032413,0.029860,0.016053,0.007480,0.023442,0.006253,0.006704,0.022970,0.050881,0.005024,0.020160,0.021088,0.007147,0.090844,0.020788,0.014212,0.248294,0.002245,0.035697,0.673373,0.390465,0.247728,0.223220,0.188444,0.204928,0.164123,0.165438,0.151918,0.155402,0.151507,0.142197,0.148408,0.006732,0.005336,0.013921,0.014441,0.009651,0.006534,0.015101,0.007974,0.005308,0.013295,0.028902,0.003062,0.006410,Silence
0.194462,0.003789,3.093192,0.305768,0.265507,1.658577,0.059264,0.393437,-26.573704,0.930240,0.055415,0.219000,0.049873,0.132494,0.089963,0.132535,0.079453,0.055900,0.039477,-0.000506,-0.069412,0.007234,0.003089,0.047478,0.005742,0.007473,0.003678,0.058651,0.002156,0.003331,0.005684,0.057130,0.003680,0.026348,0.064015,0.001686,0.241382,0.079428,0.069657,0.567167,0.218212,0.135753,6.231292,0.365954,0.105441,0.202319,0.147489,0.111526,0.112829,0.204303,0.193165,0.126060,0.069467,0.122844,0.148484,0.004348,0.001884,0.030132,0.003959,0.004930,0.002763,0.042123,0.001486,0.001697,0.003373,0.037601,0.002623,0.010633,Silence
0.197591,0.010166,3.154840,0.330510,0.285210,1.661860,0.004332,0.398062,-23.936211,0.934525,0.086701,0.243371,0.065433,0.111076,0.018468,0.036088,-0.021056,0.028612,0.032131,0.060613,-0.005428,0.005733,0.002980,0.034291,0.003961,0.007911,0.004829,0.057997,0.001764,0.003127,0.006496,0.065290,0.002788,0.026635,0.053719,0.004318,0.110289,0.014938,0.007130,0.546409,0.002437,0.160467,0.299887,0.179235,0.115881,0.174025,0.175327,0.101823,0.154564,0.134279,0.161380,0.150113,0.113641,0.113967,0.112807,0.003473,0.002210,0.020941,0.002674,0.005981,0.003130,0.038122,0.001271,0.001853,0.004287,0.039063,0.002060,0.008048,Silence
0.217120,0.048130,3.190384,0.334463,0.286047,1.810837,0.003132,0.455580,-21.604160,1.007749,0.084088,0.198779,0.065509,0.058787,0.046031,0.071800,0.030358,0.011161,0.032412,0.054665,0.044779,0.007700,0.003318,0.040077,0.005376,0.010266,0.005233,0.083460,0.001842,0.003860,0.005707,0.046752,0.003349,0.028875,0.041468,0.015783,0.068883,0.015212,0.004825,0.417477,0.001956,0.132584,0.170709,0.147584,0.154685,0.171530,0.110790,0.145102,0.153985,0.147667,0.124740,0.147109,0.098441,0.131135,0.142505,0.004901,0.002053,0.023869,0.003205,0.006493,0.003059,0.043923,0.001127,0.002400,0.003488,0.032716,0.002176,0.008823,Silence
0.198164,0.077781,3.208041,0.335277,0.287657,1.739309,0.001167,0.465000,-20.993742,0.966438,0.139092,0.348994,0.217897,0.023614,-0.001629,0.137733,-0.018160,-0.100545,-0.020120,-0.112236,-0.124264,0.008362,0.001815,0.034871,0.010049,0.008959,0.005079,0.076078,0.001833,0.002435,0.003390,0.055961,0.004209,0.024357,0.015842,0.004694,0.003750,0.007461,0.004612,0.077399,0.000840,0.045046,0.050589,0.114836,0.068014,0.089340,0.049823,0.060389,0.094164,0.069666,0.092271,0.091722,0.075365,0.044707,0.119370,0.004771,0.001022,0.013389,0.002694,0.005599,0.001594,0.004973,0.000505,0.001665,0.001588,0.014030,0.002713,0.001564,Silence
0.200751,0.009680,3.126805,0.316722,0.266025,1.739298,0.070056,0.431000,-25.454445,0.833996,0.082123,0.207909,0.066447,0.063683,0.061802,0.080277,0.050992,0.012333,0.046969,0.062632,0.030449,0.005093,0.003438,0.032815,0.005947,0.008272,0.005341,0.062689,0.002086,0.005323,0.004967,0.061606,0.003407,0.028996,0.060694,0.003660,0.194373,0.085078,0.071366,0.614111,0.248608,0.153658,6.725309,0.340136,0.154127,0.183422,0.172577,0.145372,0.151074,0.164188,0.072047,0.130452,0.159863,0.100711,0.077370,0.003268,0.002304,0.027034,0.005152,0.006219,0.003460,0.059103,0.001077,0.004350,0.002799,0.043927,0.001896,0.011866,Silence
